5738.MY,Country Heights Holdings Berhad
5789.MY,LBS Bina Group Bhd
5789PA.MY,LBS Bina Group Bhd
5797.MY,Choo Bee Metal Industries Bhd
5819.MY,Hong Leong Bank Berhad
5827.MY,Oriental Interest Bhd
5843.MY,Kumpulan Perangsang Selangor Bhd
5878.MY,KPJ Healthcare Bhd
5908.MY,DKSH Holdings 
5916.MY,Malaysia Smelting Corporation Berhad
5932.MY,Bina Puri Holdings Bhd
5983.MY,MBM Resources Bhd
6009.MY,Pacific & Orient Bhd
6012.MY,Maxis Berhad
6017.MY,SHL Consolidated Bhd
6033.MY,Petronas Gas Bhd
6041.MY,FARLIM
6068.MY,PCCS Group Bhd
6076.MY,ENCORP
6084.MY,Star Media Group Berhad
6114.MY,MKH Berhad
6139.MY,Syarikat Takaful Malaysia Bhd
6149.MY,Metrod Holdings Berhad
6173.MY,BDB
6181.MY,Malton Bhd
6203.MY,Khee San Berhad
6211.MY,Kia Lim Bhd
6254.MY,PDZ Holdings Bhd
6262.MY,Innoprise Plantations Bhd
6297.MY,Box-Pak Malaysia Bhd
6351.MY,Amway 
6378.MY,Tekala Corp. Bhd
6399.MY,Astro Malaysia Holdings Berhad
6432.MY,Apollo Food Holdings Berhad
6459.MY,MNRB Holdings Berhad
6483.MY,K & N Kenanga Holdings Berhad
6491.MY,Kumpulan Fima Bhd
6521.MY,Suria Capital Holdings Bhd
6556.MY,Ann Joo Resources Berhad
6599.MY,Aeon Co. 
6602.MY,BCB Berhad
6633.MY,LHI
6637.MY,PNE PCB Bhd
6645.MY,Lingkaran Trans Kota Holdings Berhad
6718.MY,Crescendo Corporation Berhad
6742.MY,YTL Power International Berhad
6769.MY,JKG Land Berhad
6807.MY,Puncak Niaga Holdings Berhad
6815.MY,EUPE
6874.MY,KUB Malaysia Berhad
6888.MY,Axiata Group Berhad
6904.MY,Subur Tiasa Holdings Bhd
6912.MY,Pasdec Holdings Bhd
6939.MY,Fiamma Holdings Bhd
6947.MY,DiGi.Com Berhad
6963.MY,VS Industry Berhad
6971.MY,Kobay Technology Bhd.
6998.MY,Bintai Kinden Corp. Bhd
7003.MY,Y&G
7004.MY,Multi-Code Electronics Industries 
7005.MY,BIG Industries Berhad
7006.MY,Latitude Tree Holdings Bhd
7007.MY,ARK Resources Berhad
7010.MY,Grand Hoover Berhad
7013.MY,Hubline Bhd
7014.MY,YLI Holdings Bhd
7016.MY,Chuan Huat Resources Bhd
7017.MY,Komarkcorp Bhd
7018.MY,CME Group Bhd
7020.MY,YKGI Holdings Berhad
7022.MY,Globetronics Technology Bhd
7025.MY,Woodlandor Holdings Bhd
7028.MY,Zecon Berhad
7029.MY,Master-Pack Group Berhad
7031.MY,Amtel Holdings Berhad
7033.MY,Kumpulan H & L High-Tech Berhad
7034.MY,Thong Guan Industries Bhd
7035.MY,CCK
7036.MY,Borneo Oil Berhad
7043.MY,JMR Conglomeration Bhd
7045.MY,Scomi Energy Services Bhd
7047.MY,Fajarbaru Builder Group Bhd.
7048.MY,Atlan Holdings Bhd
7050.MY,Wong Engineering Corporation Berhad
7052.MY,Padini Holdings Berhad
7054.MY,Astral Asia Berhad
7060.MY,New Hoong Fatt Holdings Bhd
7062.MY,Khind Holdings Bhd
7066.MY,Yong Tai Berhad
7066PA.MY,YONGTAI-PA
7070.MY,VIZIONE
7071.MY,O&C Resources Berhad
7073.MY,Seacera Group Berhad
7076.MY,CB Industrial Product Holding Bhd
7077.MY,GSB Group Berhad
7078.MY,Ahmad Zaki Resources Berhad
7079.MY,Tiger Synergy Berhad
7080.MY,Permaju Industries Bhd
7080PA.MY,PERMAJU-PA
7081.MY,Pharmaniaga Bhd
7082.MY,SYF Resources Bhd
7083.MY,Analabs Resources Berhad
7084.MY,QL Resources Berhad
7085.MY,LTKM Bhd
7086.MY,AbleGroup Berhad
7087.MY,Magni-Tech Industries Bhd
7088.MY,Poh Huat Resources Holdings Bhd
7089.MY,Lii Hen Industries Berhad
7090.MY,Apex Healthcare Berhad
7091.MY,Unimech Group Bhd
7094.MY,Eurospan Holdings Bhd
7095.MY,PIE Industrial Bhd
7096.MY,GPA Holdings Bhd
7097.MY,Ta Win Holdings Bhd
7099.MY,ATTA
7100.MY,Uchi Technologies Berhad
7103.MY,Spritzer Bhd.
7105.MY,HCK Capital Group Berhad
7106.MY,Supermax Corporation Berhad
7107.MY,Oriental Food Industries Holdings Bhd
7108.MY,PERDANA
7108PA.MY,PERDANA-PA
7113.MY,Top Glove Corporation Berhad
7114.MY,D Nonce Technology Bhd
7115.MY,SKB Shutters Corp. Bhd
7117.MY,Century Logistics Holdings Bhd
7120.MY,Acoustech Berhad
7121.MY,Xian Leng Holdings Bhd
7123.MY,Priceworth International Berhad
7128.MY,Cam Resources Bhd
7129.MY,Asia File Corporation Bhd.
7130.MY,Kumpulan Powernet Bhd
7131.MY,ACME
7132.MY,SMIS Corp. Bhd
7133.MY,United U-LI Corporation Berhad
7134.MY,PWF Consolidated Berhad
7137.MY,UMS Holdings Berhad
7139.MY,Niche Capital Emas Holdings Berhad
7140.MY,Oka Corp. Bhd
7146.MY,AE Multi Holdings Berhad
7148.MY,CCM Duopharma Biotech Berhad
7149.MY,Eng Kah Corporation Berhad
7152.MY,Jaycorp Berhad
7153.MY,Kossan Rubber Industries Bhd
7154.MY,Caely Holdings Bhd
7155.MY,SKP Resources Bhd
7157.MY,CYL
7160.MY,Pentamaster Corp. Bhd
7161.MY,Kerjaya Prospek Group Berhad
7162.MY,Astino Berhad
7163.MY,PJBUMI
7164.MY,KNM Group Bhd
7165.MY,Spring Gallery Berhad
7167.MY,Johore Tin Bhd
7168.MY,PRG Holdings Berhad
7169.MY,DOMINAN
